cmpt_0,cmpt_1,logl,logl2,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.6161911720166891e+01,-3.9970651461546211e+01,-2.5779069792856241e+01,-7.1457691530566994e+00,-6.2556079317555247e+00,1.2232528454268783e-14,1.1412120480863896e+01,8.1218781218781222e-01,5.6683589806618695e-03
4.6316112836193767e+01,3.8744519657782007e+01,-2.5367794992088250e+01,-7.1457691530566994e+00,-6.2576079317555537e+00,1.8418829266421812e-14,1.1458193917098598e+01,8.1255946717411986e-01,3.7165498630764571e-04
-3.5229864465138995e+01,4.8838201539536783e+01,-2.5267760832494183e+01,-7.1457691530566994e+00,-6.2596079317555580e+00,2.0315977199811864e-14,1.1605516510777910e+01,8.1380563124432337e-01,1.2461640702035037e-03
4.7589205536948832e+01,-3.6872729469304922e+01,-2.5257847744024346e+01,-7.1457691530566994e+00,-6.2616079317554982e+00,2.0477377068268736e-14,1.1844497541110801e+01,8.1581233709817547e-01,2.0067058538520977e-03
3.9395128332458150e+01,4.4951104802661355e+01,-2.4999084229805259e+01,-7.1457691530566994e+00,-6.2636079317555389e+00,2.6471911655951180e-14,1.1290474964199168e+01,8.1099084096586183e-01,-4.8214961323136407e-03
4.1338154805358606e+01,-4.2616599594185253e+01,-2.4761282451666318e+01,-7.1457691530566994e+00,-6.2656079317554987e+00,3.3511411127086602e-14,1.1796980430742332e+01,8.1534772182254200e-01,4.3568808566801787e-03
-3.8447825035441255e+01,4.4591332612184644e+01,-2.4469305403683727e+01,-7.1457691530566994e+00,-6.2676079317555704e+00,4.4784543085349148e-14,1.1552312123508139e+01,8.1322059953881631e-01,-2.1271222837256909e-03
-3.6675419146860790e+01,-4.5948479430280479e+01,-2.4417940091015957e+01,-7.1457691530566994e+00,-6.2696079317555302e+00,4.7050823669582027e-14,1.1414708846341862e+01,8.1199111769059951e-01,-1.2294818482168068e-03
-3.5820687962966900e+01,-4.6283207594951456e+01,-2.4262479390339870e+01,-7.1457691530566994e+00,-6.2716079317555282e+00,5.4854765909301116e-14,1.1450957189636492e+01,8.1227694503925763e-01,2.8582734865811865e-04
-3.2055321141459849e+01,4.8855954629098633e+01,-2.4208434014265137e+01,-7.1457691530566994e+00,-6.2736079317555271e+00,5.7785301780790258e-14,1.1327826016033127e+01,8.1116471399035150e-01,-1.1122310489061205e-03
