cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-3.94949253483466e+00,3.56631786244511e+00,-4.88093757030656e+00,4.21561417546384e+00,4.52945951066202e+00,-2.01063977993606e+00,-5.27490034976498e+01,-6.92025523731549e+00,1.21890593630156e-26,5.85663060678171e-01,7.86666666666667e-01,-4.24242424242427e-03
3.55319117504749e+00,2.47671746035236e+00,3.48769851076503e+00,4.67652923079358e+00,4.24857453117350e+00,4.80930996508008e+00,-5.25001868660319e+01,-6.92125523731546e+00,1.56169272715847e-26,1.39979065988194e+00,7.95384615384615e-01,8.71794871794873e-03
-3.63842910480771e+00,4.59602127617968e+00,4.41914701913600e+00,-4.31516922292191e+00,-3.91213965701986e+00,2.41773327850582e+00,-5.23443285073106e+01,-6.92225523731547e+00,1.82326467783577e-26,1.25340162881310e+00,7.94285714285714e-01,-1.09890109890109e-03
-4.59144285884823e+00,-4.51984423726254e+00,-4.26691917059320e+00,-4.55983853567460e+00,-3.42074970652333e+00,2.20205657068950e-02,-5.16191709932881e+01,-6.92325523731551e+00,3.76138103776120e-26,7.63040931558606e-01,7.89333333333333e-01,-4.95238095238093e-03
-2.96935638514564e+00,4.88128274715809e+00,4.10804148099669e+00,4.53244331734298e+00,-4.57401832620671e+00,7.22433235141715e-01,-5.12669308267686e+01,-6.92425523731546e+00,5.34427745446553e-26,5.95955405969639e-01,7.86875000000000e-01,-2.45833333333334e-03
4.38392858080164e+00,1.52921127180426e+00,-4.45035252432200e+00,4.72284605790842e+00,2.77626427641296e+00,4.45623058370283e+00,-5.11305630660192e+01,-6.92525523731551e+00,6.11897203641800e-26,1.38244233041102e+00,7.95294117647059e-01,8.41911764705883e-03
3.25128497283335e+00,2.99491486205138e+00,-4.23659731118406e+00,-2.48320619585756e+00,-4.97272028146734e+00,4.77753711615739e+00,-5.11177545396818e+01,-6.92625523731541e+00,6.19165638177349e-26,5.08572111963353e-01,7.76111111111111e-01,-1.91830065359477e-02
4.61913722146611e+00,-4.96841319972147e+00,-3.23931078682286e+00,-1.52514761776788e+00,-4.84806320813843e+00,2.90914547939239e+00,-5.09174373527424e+01,-6.92725523731543e+00,7.55734416683218e-26,1.33678428725852e+00,7.85789473684210e-01,9.67836257309940e-03
3.21242545191469e+00,3.68619193072489e+00,2.04612820332788e+00,-4.89663934550946e+00,-4.93757178801633e+00,3.74671922402070e+00,-5.07580941178784e+01,-6.92825523731549e+00,8.85394447090849e-26,7.86132108120668e-01,7.80500000000000e-01,-5.28947368421051e-03
-4.32641514468407e+00,-4.14832164272669e+00,-3.98342267952642e+00,2.69669948604493e+00,-4.57368766359980e+00,-3.15730600424264e+00,-5.04903736288293e+01,-6.92925523731550e+00,1.15603778847298e-25,1.32229594217504e+00,7.85714285714286e-01,5.21428571428573e-03
4.20079826188921e+00,-3.66992323583213e+00,-4.70821348979902e+00,-2.08653657802489e+00,4.35135161671712e+00,-3.63118528451579e+00,-5.03914908026720e+01,-6.93025523731546e+00,1.27491726315754e-25,5.41962214121696e-01,7.76818181818182e-01,-8.89610389610385e-03
-3.86351677242553e+00,-4.82789467283123e+00,4.88157186029724e+00,4.62999728761254e+00,9.02227242486324e-01,2.30730613969904e+00,-5.03334427721442e+01,-6.93125523731545e+00,1.34976339670679e-25,1.00830932889774e+00,7.83043478260870e-01,6.22529644268777e-03
4.26027902458290e+00,-2.45889233419433e+00,-4.95627305792001e+00,2.45934574454927e+00,4.43640352745106e+00,-3.84967482249238e+00,-5.01690439416345e+01,-6.93225523731544e+00,1.58935479711698e-25,1.44666441606255e+00,7.86666666666667e-01,3.62318840579701e-03
-2.49288377972512e+00,-4.90040673326863e+00,4.89843750491190e+00,-3.49806036994473e+00,4.11413595803088e+00,-2.39712279888419e+00,-5.00795734088398e+01,-6.93325523731557e+00,1.73637338857590e-25,1.35147128136915e+00,7.86000000000000e-01,-6.66666666666593e-04
4.26391724949471e-01,4.98769317523512e+00,-4.49376546435085e+00,2.42534326070549e+00,-4.85466352789926e+00,3.77545932405246e+00,-4.99921122812622e+01,-6.93425523731542e+00,1.89318350504357e-25,1.79444151003986e+00,7.88846153846154e-01,2.84615384615383e-03
4.76080681724718e+00,1.94911565937067e+00,-2.57866626620996e+00,4.80904426834801e+00,4.21960145344295e+00,3.73569723033194e+00,-4.95142462531895e+01,-6.93525523731544e+00,3.04995194374573e-25,1.93867427945075e+00,7.89629629629630e-01,7.83475783475818e-04
4.24747715488619e-01,4.13164791597345e+00,-4.52969397290104e+00,3.12164723689779e+00,4.55820132698006e+00,4.39309560469728e+00,-4.93087424020207e+01,-6.93625523731548e+00,3.74203539074240e-25,2.15877604532050e+00,7.90714285714286e-01,1.08465608465602e-03
3.21311482243225e+00,4.86453331036447e+00,2.56193158559244e+00,-4.66123770826222e+00,4.01852345349664e+00,-2.88739134623713e+00,-4.88956217680945e+01,-6.93725523731548e+00,5.65053550007353e-25,2.46999540979130e+00,7.92068965517241e-01,1.35467980295567e-03
-3.61006025814073e+00,4.80765799619467e+00,3.57496614135215e+00,2.08676297736783e+00,4.36668583580633e+00,-3.77549131798279e+00,-4.88153076918521e+01,-6.93825523731549e+00,6.11695482871028e-25,1.17639311356932e+00,7.84666666666667e-01,-7.40229885057475e-03
-3.53863698039911e+00,-5.35611421989610e-01,3.54850001230709e+00,3.67427942868715e+00,4.81932235654005e+00,4.94653296615681e+00,-4.88111658424769e+01,-6.93925523731549e+00,6.13620360195574e-25,1.05019929989709e+00,7.83548387096774e-01,-1.11827956989241e-03
4.97736261367224e+00,4.54061558467539e+00,-2.82872490140102e+00,-4.55090603311430e+00,-2.53412757585031e+00,-2.42911979475110e+00,-4.87267233526790e+01,-6.94025523731546e+00,6.67019259855783e-25,1.50924570952813e+00,7.87187500000000e-01,3.63911290322583e-03
-4.79203804217238e+00,-4.58772608888167e+00,-3.57245000766169e+00,-4.66517606398290e+00,-2.76505077959110e+00,1.91298159957802e-01,-4.86232446103772e+01,-6.94125523731545e+00,7.38999809484596e-25,1.52022750181675e+00,7.87272727272727e-01,8.52272727271952e-05
1.22175648332650e+00,-4.95713114005084e+00,4.07090779200459e+00,-4.30363878505251e+00,3.19430011368916e-01,4.96478119304603e+00,-4.84688926530054e+01,-6.94225523731548e+00,8.61478087638847e-25,1.48613011633756e+00,7.87058823529412e-01,-2.13903743315424e-04
2.57745930851353e+00,4.87108318427063e+00,-3.54109460578955e+00,3.79084675932716e+00,3.77545396495020e+00,3.73206833174353e+00,-4.82451335504207e+01,-6.94325523731554e+00,1.07643369642241e-24,1.77694065241448e+00,7.88857142857143e-01,1.79831932773100e-03
4.58030843930004e+00,-2.81737346166817e+00,4.77551627814792e+00,4.23312003897627e+00,3.21473095889818e-01,-3.96406089907957e+00,-4.82430328817331e+01,-6.94425523731547e+00,1.07761914556012e-24,7.11324402958754e-01,7.79722222222222e-01,-9.13492063492061e-03
-4.61294308815543e+00,9.58322154004830e-01,3.88581170337161e+00,3.66818892020579e+00,-4.15228434821933e+00,-4.14695116290281e+00,-4.81093497406830e+01,-6.94525523731541e+00,1.23052050400428e-24,9.56658905195998e-01,7.82702702702703e-01,2.98048048048050e-03
